"X","Y"
117.3,87
114.2,81.2
114,78.7
119.1,86.1
122.9,83.1
118.1,89.8
118.6,82.3
113.7,82.3
116.7,84.2
114.4,80.8
118.8,85.4
122.5,83.3
122.3,83.7
117,85.2
117.8,88.4
125.5,91.5
117.1,84.3
119,83.7
111.7,79.3
114.4,85.4
120.5,88.8
118.1,82.7
123.6,86.2
121,82.8
119.2,85
114.9,82.1
119.9,82.8
114.8,83.8
115,83.2
115.1,82.2
121.4,83.5
120,88.3
116.4,79.4
113.5,83.6
117.5,82.7
116.9,83.2
117.3,83.4
124.7,86.9
118.6,80
114.3,81.2
117,86.5
120.4,85.2
117.2,84.1
120.4,82.1
116.5,81.4
107.3,85.4
120.8,84.7
122.4,79.9
116.2,84.6
118.9,82.7
114.4,80.9
119.1,88.8
112,90.7
119.8,87.9
127.4,84.3
117.1,84.4
118.1,87.9
119.4,84.3
117.4,86.6
119.3,85.4
120.4,83.8
113.5,87.5
115.9,87.5
119.9,85.7
124.8,86
122.5,83.9
124.7,88.1
113.4,81.3
118.8,83
114.2,81.1
111.9,80.7
114.5,83.5
115.1,80.7
121.2,87
114.8,86.3
121.1,85.2
112.3,86.8
123.1,87.9
117.4,85.2
115.8,82.8
104.9,80.1
123.8,84.9
121.1,84.3
114.3,82.6
115.5,87.7
111.1,85.2
119.9,84.4
113.6,84.9
116.1,82.2
114.7,90
117.5,84.5
118.4,79.2
118.6,83.5
118.8,82.9
123.3,83.2
115.6,87.6
110,77.8
125.1,83.8
112.7,78.6
